region,dataset,model_name,threshold,tp,fp,tn,fn,precision,recall,f1,weighted_cost_per_sample,weighted_cost_normalized,utility_profile,fn_weight,fp_weight,n_samples,positive_count,negative_count
nola,nola_pooled_pairwise,hgbt,0.19,42,66,1255,8,0.3889,0.8400,0.5316,0.077316,0.067473,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.20,42,65,1256,8,0.3925,0.8400,0.5350,0.076586,0.066836,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.21,42,62,1259,8,0.4038,0.8400,0.5455,0.074398,0.064927,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.22,42,61,1260,8,0.4078,0.8400,0.5490,0.073669,0.064290,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.23,42,60,1261,8,0.4118,0.8400,0.5526,0.072939,0.063654,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.24,42,59,1262,8,0.4158,0.8400,0.5563,0.072210,0.063017,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.25,42,56,1265,8,0.4286,0.8400,0.5676,0.070022,0.061108,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.26,42,55,1266,8,0.4330,0.8400,0.5714,0.069292,0.060471,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.27,42,53,1268,8,0.4421,0.8400,0.5793,0.067834,0.059198,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.28,42,52,1269,8,0.4468,0.8400,0.5833,0.067104,0.058561,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.29,42,52,1269,8,0.4468,0.8400,0.5833,0.067104,0.058561,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.30,42,51,1270,8,0.4516,0.8400,0.5874,0.066375,0.057925,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.31,42,49,1272,8,0.4615,0.8400,0.5957,0.064916,0.056652,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.32,41,47,1274,9,0.4659,0.8200,0.5942,0.067104,0.058561,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.33,41,45,1276,9,0.4767,0.8200,0.6029,0.065646,0.057288,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.34,40,43,1278,10,0.4819,0.8000,0.6015,0.067834,0.059198,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.35,40,43,1278,10,0.4819,0.8000,0.6015,0.067834,0.059198,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
