dataset,model_family,model_name,runs,f1_mean,f1_std,f1_ci95,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,auroc_ci95,ece_mean,ece_std,ece_ci95,brier_mean,brier_std,brier_ci95,positive_count_mean
nola_pooled_pairwise,tabular,hgbt,10,0.6015037593984962,0.0,0.0,0.4819277108433735,0.0,0.8,0.0,0.9707494322482967,0.0,0.0,0.023666900072939458,0.0,0.0,0.02622324953422467,0.0,0.0,50.0
nola_pooled_pairwise,tabular,random_forest,10,0.5402280505850654,0.02177100193184537,0.013493806797517218,0.4095968271362511,0.01379342174691501,0.798,0.07568942389058653,0.9672021196063588,0.001476015098962745,0.0009148436364101371,0.04090062414296135,0.0015628576862622698,0.000968669229668765,0.02540950089539191,0.00044329858586531607,0.0002747593101137601,50.0
nola_pooled_pairwise,tabular,extra_trees,10,0.5162364836068641,0.01556788123017469,0.009649072753945866,0.395630600446977,0.017256054334851095,0.744,0.024585451886114388,0.9542149886449659,0.0029601742227073043,0.0018347349916760266,0.05812775798687089,0.001186983310080756,0.0007356998776743737,0.030977423779189495,0.0005771181356043662,0.00035770152634994365,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_weighted,10,0.44563420015394134,0.0611341707078008,0.03789135157123092,0.3308892688444408,0.11198221548440215,0.756,0.08474799243771042,0.9620136260408781,0.003526370492349032,0.002185667075368733,0.11064500087527351,0.01086713318716226,0.006735518931536172,0.06955644266342637,0.007053834601607345,0.004372011981520383,50.0
nola_pooled_pairwise,tabular,rule_score,10,0.44549763033175355,0.0,0.0,0.2919254658385093,0.0,0.94,0.0,0.9735200605601816,0.0,0.0,0.14123825237053245,0.0,0.0,0.04393154652931583,0.0,0.0,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,10,0.4300142792432553,0.018303763628346226,0.01134479023250867,0.2978233383129055,0.020821457816710024,0.78,0.04422166387140532,0.9620136260408781,0.003526370492349032,0.002185667075368733,0.09617235959153903,0.01080697236562122,0.006698230868028758,0.07688721330821034,0.005718006262161454,0.0035440569988530687,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,10,0.42711858581202866,0.011443338309557394,0.007092654566436217,0.29681797558036677,0.014205217404271428,0.766,0.043256341860022224,0.9622043906131719,0.003868947031451378,0.0023979982141229582,0.0914530922684172,0.013707536968642202,0.008496019434646406,0.07325894159641318,0.007820449000403865,0.004847164508626801,50.0
nola_pooled_pairwise,regional_raster_cnn,cnn_focal,10,0.42636699315442655,0.01289196195633752,0.007990520804892287,0.29674769014270846,0.013712967424272086,0.762,0.05116422361159971,0.9622043906131719,0.003868947031451378,0.0023979982141229582,0.19131588577680528,0.011869733566642953,0.007356937084829367,0.07512123468714485,0.006808602644117131,0.004220015639537172,50.0
nola_pooled_pairwise,tabular,logreg,10,0.4247787610619469,0.0,0.0,0.38095238095238093,0.0,0.48,0.0,0.9204087812263436,0.0,0.0,0.05305778264040847,0.0,0.0,0.04775330946909708,0.0,0.0,50.0
nola_pooled_pairwise,tabular,torch_mlp,10,0.40518201296899004,0.04749294236482505,0.029436430648566325,0.2998544767191307,0.033742800293340196,0.63,0.0976387901058454,0.8996018168054504,0.03240116404448288,0.020082449535378553,0.2015402146608315,0.020568084934235342,0.012748231117995733,0.08176803656480268,0.009928000517864277,0.006153438472565331,50.0
